21065074;Eckernfoerder Bank VRB
21070020;Deutsche Bank Kiel
21070024;Deutsche Bank PGK Kiel
21080050;Dresdner Bank Kiel
21089201;Dresdner Bank ITGK Kiel
21090007;Kieler Volksbank
21090619;apoBank Kiel
21090900;PSD Bank Kiel
21092023;Eckernfoerder Bank VRB
21210111;SEB Neumuenster
21230085;HypoVereinsbk ex VereinWest
21230086;HypoVereinsbk ex VereinWest
21240040;Commerzbank Neumuenster
21241540;Commerzbank Bad Bramstedt
21250000;St Spk Neumuenster -alt-
21261089;Raiffeisenbank Wasbek -alt-
21261227;Raiffbk Kl-Kummerfeld -alt-
21270020;Deutsche Bank Neumuenster
21270024;Deutsche Bank PGK Neumuenste
21280002;Dresdner Bank Neumuenster
21290016;VB Raiffbk Neumuenster
21340010;Commerzbank Neustadt Holst
21352240;Spk Holstein Eutin
21390008;Volksbank Ostholstein Nord
21392218;Volksbank Eutin
21430070;HypoVereinsbk ex VereinWest
21440045;Commerzbank Rendsburg
21450000;Spk Mittelholstein Rendsbg
21451205;Sparkasse Buedelsdorf -alt-
21452030;Spk Hohenwestedt
21461627;Raiffbk Jevenstedt -alt-
21463603;VB-Raiffbk i Kr Rendsburg
21464671;Raiffbk Todenbuettel
21480003;Dresdner Bank Rendsburg
21500000;BBk Flensburg
21510600;Sydbank Fil. Flensburg
21520100;Union-Bank Flensburg
21530080;HypoVereinsbk ex VereinWest
21540060;Commerzbank Flensburg
21550050;Flensburger Spk
21563321;Raiffbk Flensburg -alt-
21565316;Raiffbk Handewitt
21566356;Volks- u Raiffeisenbank
21567360;Raiffeisenbank Kleinjoerl
21570011;Deutsche Bank Flensburg
21570024;Deutsche Bank PGK Flensburg
21580000;Dresdner Bank Flensburg
21630060;HypoVereinsbk ex VereinWest
21630061;HypoVereinsbk ex VereinWest
21630062;HypoVereinsbk ex VereinWest
21630063;HypoVereinsbk ex VereinWest
21650110;Spk Schleswig-Flensburg alt
21661719;VR Bank Flensburg-Schleswig
21690020;Schleswiger Volksbank
21700000;BBk Flensburg eh Husum
21730040;HypoVereinsbk ex VereinWest
21730042;HypoVereinsbk ex VereinWest
21730043;HypoVereinsbk ex VereinWest
21730044;HypoVereinsbk ex VereinWest
21730045;HypoVereinsbk ex VereinWest
21730046;HypoVereinsbk ex VereinWest
21740043;Commerzbank Husum Nordsee
21741674;Commerzbank Niebuell
21741825;Commerzbank Westerland
21750000;Nord-Ostsee Spk Schleswig
21751230;Spk Bredstedt
21762550;Volksbank-Raiffbk Husum
21763542;VR Bank Niebuell
21770011;Deutsche Bank Husum Nordsee
21770024;Deutsche Bank PGK Husum
21791805;Sylter Bank
21791906;Foehr-Amrumer Bank
21830030;HypoVereinsbk ex VereinWest
21830032;HypoVereinsbk ex VereinWest
21830033;HypoVereinsbk ex VereinWest
21830034;HypoVereinsbk ex VereinWest
21830035;HypoVereinsbk ex VereinWest
21830036;HypoVereinsbk ex VereinWest
21840078;Commerzbank Heide Holst
21841328;Commerzbank Brunsbuettel
21851720;Alte Marner Spk -alt-
21851830;Verb Spk Meldorf
21852310;Spk Hennstedt-Wesselburen
21860418;Raiffeisenbank Heide
21890022;Dithmarscher VB Heide
22130075;HypoVereinsbk ex VereinWest
22140028;Commerzbank Elmshorn
22141028;Commerzbank Kaltenkirchen
22141428;Commerzbank Pinneberg
22141628;Commerzbank Uetersen
22150000;Spk Elmshorn
22151410;Kr Spk Pinneberg -alt-
22151730;St Spk Wedel Holst
22162113;VR-Bank Halstenbek-Schenefd
22163114;Raiffbk Elbmarsch Heist
22180000;Dresdner Bank Elmshorn
22181400;Dresdner Bank Pinneberg
22190030;Volksbank Elmshorn
22191405;VR Bank Pinneberg
22200000;BBk Kiel eh Itzehoe
22230020;HypoVereinsbk ex VereinWest
22230022;HypoVereinsbk ex VereinWest
22230023;HypoVereinsbk ex VereinWest
22230024;HypoVereinsbk ex VereinWest
22230025;HypoVereinsbk ex VereinWest
22240073;Commerzbank Itzehoe
22250020;Spk Westholstein
22251580;Landsparkasse Schenefeld
22252050;Verb Spk Wilster -alt-
22260136;Raiffeisenbank Itzehoe
22280000;Dresdner Bank Itzehoe
22290031;VB Raiffbk Itzehoe
23000000;BBk Luebeck
23010111;SEB Luebeck
23030000;HypoVereinsbk ex VereinWest
23040022;Commerzbank Luebeck
23050000;HSH Nordbank Luebeck
23050101;Sparkasse zu Luebeck
23051030;Spk Suedholstein Neumuenster
23051610;Spk Stormarn -alt-
23052750;Kr Spk Lauenburg Ratzeburg
23061220;Raiffeisenbank Leezen
23062124;Raiffeisenbank Bargteheide
23062807;Volks- u Raiffbk Moelln
23063129;Raiffeisenbank Lauenburg
23064107;Raiffeisenbank Buechen
23070700;Deutsche Bank PGK Luebeck
23070710;Deutsche Bank
23080040;Dresdner Bank Luebeck
23089201;Dresdner Bank ITGK Luebeck
23090142;Volksbank Luebeck
23092502;Volksbank Lauenburg -alt-
23092620;apoBank Luebeck
24000000;BBk Hannover eh Lueneburg
24030000;HypoVereinsbk ex VereinWest
24040000;Commerzbank Lueneburg
24050110;Spk Lueneburg
24060300;VB Nordheide
24061392;VB Bleckede-Dahlenbg -alt-
24070024;Deutsche Bank PGK Lueneburg
24070075;Deutsche Bank Lueneburg
24080000;Dresdner Bank Lueneburg
24090041;VB Lueneburg
24121000;Ritter Kredit Stade
24130000;HypoVereinsbk ex VereinWest
24140041;Commerzbank Cuxhaven
24150001;St Spk Cuxhaven
24151005;Spk Stade-Altes Land
24151116;Kreissparkasse Stade
24151235;Spk Rotenburg-Bremervoerde
24161594;Zevener Volksbank
24162898;Spar- u Darlehnskasse Boerde
24180000;Dresdner Bank Otterndorf
24180001;Dresdner Bank Cuxhaven
24191015;Volksbank Stade-Cuxhaven
24191255;Volksbank Bremervoerde
25000000;BBk Hannover
25010030;Postbank Hannover
25010111;SEB Hannover
25010424;Aareal Bank
25010600;Deuhypo Hannover
25010700;BHH Hannover
25010900;Calenbg Kreditver Hannover
25020200;BHF-BANK Hannover
25020600;GE Money Bank
25020700;Hanseatic Bank Hannover
25030000;HypoVereinsbk ex VereinWest
25040066;Commerzbank Hannover
25050000;Nord LB Hannover
25050180;Sparkasse Hannover
25050299;Kr Spk Hannover -alt-
25055500;LBS-Norddt Hannover
25060000;DZ BANK
25060180;Bankhaus Hallbaum
25060701;EKK Hannover
